,DRUG,BACKGROUND_RATE,conf_level,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
106,AMI,0.2,0.9,0.8612115732368897,0.8474199288256228,0.9631699733491265,0.8508262617239839,0.9861565161238245
107,AMI,0.2,0.95,0.8612115732368897,0.8474199288256228,0.9615042937518508,0.8508262617239839,0.9861565161238245
108,AMI,0.25,0.9,0.8604336043360433,0.8474199288256228,0.9662052117263844,0.8508262617239839,0.9861565161238245
109,AMI,0.25,0.95,0.8612115732368897,0.8474199288256228,0.9636141545750666,0.8508262617239839,0.9861565161238245
110,STM,0.05,0.9,0.9555081267443769,0.8264697529111048,0.9345914050322868,0.9428154867973433,0.896361631753032
111,STM,0.05,0.95,0.9553026554510968,0.8289680835837985,0.9315297261189045,0.938279604730277,0.8986515138665083
112,STM,0.1,0.9,0.9543700721355477,0.8341642228739002,0.9250167000668003,0.9215940385549976,0.9040793825799338
113,STM,0.1,0.95,0.9542616033755275,0.8398692810457516,0.9173346693386774,0.9159241859711648,0.9085743363582394
114,STM,0.15,0.9,0.9534804173080212,0.85296817625459,0.9143843242039634,0.9031265187105135,0.9184971588499703
115,STM,0.15,0.95,0.9530224525043178,0.8582983356665111,0.906312625250501,0.8938927587882715,0.922737681282334
116,STM,0.2,0.9,0.9529411764705882,0.8596847198376776,0.9072032954798486,0.8922728009071764,0.9237554066661012
117,STM,0.2,0.95,0.9521968365553602,0.8667413213885778,0.8985192607437097,0.8776931799773205,0.9293528962768213
118,STM,0.25,0.9,0.9512883868690434,0.8693548387096774,0.8982965931863728,0.8731572979102543,0.9313035365957086
119,STM,0.25,0.95,0.9506978430306325,0.8778242677824267,0.8831551992874638,0.8496679086343755,0.9380883724874904
120,ETH,0.05,0.9,0.9013888888888889,0.6331707317073171,0.9007858546168959,0.8236040609137056,0.877937930138943
121,ETH,0.05,0.95,0.8993478877232776,0.6405492730210016,0.8918415882535415,0.8050761421319796,0.8844305934294248
