Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2
PZA,0.5,0.2,86.12698412698413,97.34375866467032,97.5680530606605,85.04702194357367,97.41374655796123
PZA,0.5,0.30000000000000004,85.68708346556649,97.37993685260068,97.66477822302059,84.63949843260188,97.44614221694293
PZA,0.5,0.4,85.00792393026941,97.4087813520846,97.7200497443692,84.07523510971787,97.47313859942767
PZA,0.5,0.5,84.28706923806513,97.45490760208033,97.81677490672931,83.57366771159874,97.51633281140327
PZA,0.5,0.6000000000000001,83.49668036674043,97.48340707964603,97.84441066740362,82.78996865203762,97.54332919388801
PZA,0.5,0.7000000000000001,82.80113815997471,97.52226093689508,97.84901662751601,82.10031347962382,97.58112412936667
PZA,0.5,0.8,82.23767383059418,97.57770158168344,97.85822854774078,81.56739811912226,97.63511689433616
PZA,0.5,0.9,80.94184576485462,97.63352869622913,97.87665238819032,80.28213166144201,97.68910965930566
PZA,0.6000000000000001,0.1,86.35786802030458,97.29879638360418,97.55884114043573,85.32915360501568,97.37055234598564
PZA,0.6000000000000001,0.2,86.12257859637981,97.349157054126,97.55884114043573,85.01567398119121,97.41914583445819
PZA,0.6000000000000001,0.30000000000000004,85.68253968253968,97.38533126523376,97.65556630279582,84.60815047021943,97.45154149343988
PZA,0.6000000000000001,0.4,84.99841420869014,97.4141749723145,97.70623186403206,84.01253918495298,97.47853787592463
PZA,0.6000000000000001,0.5,84.27712749130022,97.4602998948708,97.80295702639215,83.51097178683385,97.52173208790023
PZA,0.6000000000000001,0.6000000000000001,83.49668036674043,97.48879915924553,97.83980470729124,82.78996865203762,97.54872847038497
PZA,0.6000000000000001,0.7000000000000001,82.80113815997471,97.52765486725664,97.84441066740362,82.10031347962382,97.58652340586362
PZA,0.6000000000000001,0.8,82.23767383059418,97.58309827996239,97.85362258762838,81.56739811912226,97.64051617083311
PZA,0.6000000000000001,0.9,80.94184576485462,97.63892728780758,97.87204642807794,80.28213166144201,97.6945089358026
PZA,0.7000000000000001,0.1,86.35353855918756,97.29879638360418,97.55423518032333,85.29780564263322,97.37055234598564
PZA,0.7000000000000001,0.2,86.11817026683609,97.349157054126,97.55423518032333,84.98432601880877,97.41914583445819
PZA,0.7000000000000001,0.30000000000000004,85.67799301365513,97.38533126523376,97.65096034268343,84.57680250783699,97.45154149343988
PZA,0.7000000000000001,0.4,84.99365482233503,97.4141749723145,97.70162590391968,83.98119122257053,97.47853787592463
PZA,0.7000000000000001,0.5,84.27215189873418,97.4602998948708,97.79835106627976,83.47962382445141,97.52173208790023
PZA,0.7000000000000001,0.6000000000000001,83.49146110056927,97.48879915924553,97.83519874717885,82.75862068965517,97.54872847038497
PZA,0.7000000000000001,0.7000000000000001,82.80113815997471,97.52765486725664,97.84441066740362,82.10031347962382,97.58652340586362
PZA,0.7000000000000001,0.8,82.23767383059418,97.58309827996239,97.85362258762838,81.56739811912226,97.64051617083311
PZA,0.7000000000000001,0.9,80.94184576485462,97.63892728780758,97.87204642807794,80.28213166144201,97.6945089358026
PZA,0.8,0.1,86.3405336721728,97.29879638360418,97.54041729998619,85.2037617554859,97.37055234598564
PZA,0.8,0.2,86.10050890585241,97.349157054126,97.5358113398738,84.858934169279,97.41914583445819
PZA,0.8,0.30000000000000004,85.65065224307986,97.38533126523376,97.62332458200912,84.38871473354233,97.45154149343988
