,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,Coverage
537,LEV,0.6,0.7000000000000001,87.88282290279628,96.78404011773684,88.81461329187718
538,LEV,0.6,0.8,86.58374055975122,96.82021125993684,88.87679751263117
539,LEV,0.6,0.9,84.81349911190054,96.88927561453121,88.97007384376214
540,LEV,0.7000000000000001,0.1,92.36912156166814,96.67215815485997,88.29382044306257
541,LEV,0.7000000000000001,0.2,92.13333333333334,96.73066374108612,88.34045860862805
542,LEV,0.7000000000000001,0.30000000000000004,91.48841354723707,96.76783170811876,88.38709677419355
543,LEV,0.7000000000000001,0.4,90.94154395359215,96.83565093616555,88.41041585697629
544,LEV,0.7000000000000001,0.5,90.41034790365745,96.87089715536105,88.47260007773028
545,LEV,0.7000000000000001,0.6,89.2012494422133,96.93788276465442,88.49591916051301
546,LEV,0.7000000000000001,0.7000000000000001,87.82337198929527,96.99552059434066,88.5736494364555
547,LEV,0.7000000000000001,0.8,86.51183564091112,97.02095154954169,88.63583365720949
548,LEV,0.7000000000000001,0.9,84.72532380527021,97.06875885365588,88.73688301593471
549,LEV,0.8,0.1,92.36573457612073,96.56609983543609,88.3637776914108
550,LEV,0.8,0.2,92.12983548243663,96.61406969099276,88.41818888457054
551,LEV,0.8,0.30000000000000004,91.48841354723707,96.65134602757715,88.47260007773028
552,LEV,0.8,0.4,90.9536541889483,96.6980100590422,88.53478429848425
553,LEV,0.8,0.5,90.42316258351893,96.75445306523878,88.58142246404975
554,LEV,0.8,0.6,89.2156862745098,96.8214090660841,88.60474154683249
